date,account_value_usd
2026-06-16,1007.261662
2026-06-17,1017.311783
2026-06-18,1017.484839
2026-06-19,1030.759125
2026-06-20,1046.995246
2026-06-21,1040.506327
2026-06-22,1064.292507
2026-06-23,1026.065095
2026-06-24,1033.489184
2026-06-25,1042.244811
2026-06-26,1047.161414
2026-06-27,1049.680676
2026-06-28,1046.198001
2026-06-29,1051.715258
